x1,x2,y1,y2,party,name
4.9,11.1,5.9,22.1,Republican,"Cochran, William Thad"
14.9,15.1,23.9,24.1,Democrat,"Cantwell, Maria E."
11.9,15.1,22.9,24.1,Democrat,"Warner, Mark"
4.9,11.1,21.9,25.1,Republican,"Hoeven, John"
3.9,8.1,20.9,25.1,Republican,"Blunt, Roy"
0.9,3.1,19.9,20.1,Republican,"Demint, James W."
3.9,8.1,20.9,25.1,Republican,"Wicker, Roger F."
8.9,13.1,18.9,22.1,Republican,"Snowe, Olympia Jean"
0.9,6.1,17.9,25.1,Republican,"Sessions, Jefferson Beauregard Iii (Jeff)"
0.9,8.1,-0.1,25.1,Republican,"Thune, John"
11.9,15.1,22.9,24.1,Democrat,"Bennet, Michael F."
11.9,15.1,22.9,24.1,Democrat,"Inouye, Daniel Ken"
3.9,11.1,15.9,22.1,Republican,"Lugar, Richard Green"
11.9,15.1,22.9,24.1,Democrat,"Coons, Christopher A."
0.9,6.1,17.9,25.1,Republican,"Inhofe, James Mountain"
3.9,10.1,14.9,25.1,Republican,"Hutchison, Kathryn Ann Bailey (Kay)"
13.9,15.1,13.9,24.1,Democrat,"Gillibrand, Kirsten"
11.9,15.1,22.9,24.1,Democrat,"Reid, Harry"
0.9,6.1,17.9,25.1,Republican,"Grassley, Charles Ernest"
11.9,15.1,22.9,24.1,Democrat,"Schumer, Charles Ellis (Chuck)"
11.9,15.1,22.9,24.1,Democrat,"Whitehouse, Sheldon"
0.9,6.1,17.9,25.1,Republican,"Johnson, Ron"
0.9,6.1,17.9,25.1,Republican,"Cornyn, John"
11.9,15.1,22.9,24.1,Democrat,"Kerry, John Forbes"
0.9,6.1,17.9,25.1,Republican,"Shelby, Richard C."
2.9,9.1,12.9,25.1,Republican,"Portman, Robert Jones (Rob)"
11.9,15.1,10.9,24.1,Democrat,"Nelson, Clarence William (Bill)"
14.9,15.1,23.9,24.1,Democrat,"Murray, Patty"
0.9,8.1,11.9,22.1,Republican,"Corker, Robert (Bob)"
13.9,15.1,13.9,24.1,Democrat,"Mikulski, Barbara Ann"
0.9,5.1,9.9,22.1,Republican,"Burr, Richard M."
0.9,6.1,17.9,25.1,Republican,"Hatch, Orrin Grant"
0.9,6.1,17.9,25.1,Republican,"Risch, James"
11.9,15.1,22.9,24.1,Democrat,"Baucus, Max Sieben"
13.9,15.1,13.9,24.1,Democrat,"Brown, Sherrod"
11.9,15.1,22.9,24.1,Democrat,"Udall, Mark"
13.9,15.1,13.9,24.1,Democrat,"Cardin, Benjamin Louis"
0.9,6.1,17.9,25.1,Republican,"Rubio, Marco"
11.9,15.1,22.9,24.1,Democrat,"Stabenow, Deborah Ann"
11.9,15.1,22.9,24.1,Democrat,"Conrad, Kent"
11.9,15.1,22.9,24.1,Democrat,"Reed, John F. (Jack)"
11.9,15.1,22.9,24.1,Democrat,"Menendez, Robert"
11.9,15.1,22.9,24.1,Democrat,"Shaheen, Jeanne"
13.9,15.1,13.9,24.1,Democrat,"Tester, Jon"
0.9,2.1,8.9,20.1,Republican,"Lee, Mike"
11.9,15.1,22.9,24.1,Democrat,"Lieberman, Joseph I."
0.9,8.1,-0.1,25.1,Republican,"Ayotte, Kelly"
11.9,15.1,10.9,24.1,Democrat,"Casey, Robert (Bob), Jr."
0.9,6.1,17.9,25.1,Republican,"Enzi, Michael B."
11.9,15.1,10.9,24.1,Democrat,"Nelson, Earl Benjamin (Ben)"
2.9,8.1,7.9,25.1,Republican,"Isakson, Johnny"
0.9,6.1,17.9,25.1,Republican,"Vitter, David"
11.9,15.1,22.9,24.1,Democrat,"Bingaman, Jesse Francis, Jr. (Jeff)"
9.9,13.1,6.9,23.1,Republican,"Brown, Scott P."
0.9,6.1,17.9,25.1,Republican,"Crapo, Michael Dean"
11.9,15.1,22.9,24.1,Democrat,"Feinstein, Dianne"
14.9,15.1,23.9,24.1,Democrat,"Begich, Mark"
5.9,7.1,24.9,25.1,Republican,"Heller, Dean"
3.9,8.1,20.9,25.1,Republican,"Johanns, Mike"
0.9,4.1,4.9,21.1,Republican,"Coburn, Thomas Allen"
0.9,8.1,-0.1,25.1,Republican,"Mcconnell, Addison Mitchell (Mitch)"
0.9,8.1,-0.1,25.1,Republican,"Boozman, John"
11.9,15.1,10.9,24.1,Democrat,"Mccaskill, Claire"
1.9,8.1,3.9,22.1,Republican,"Graham, Lindsey O."
11.9,15.1,22.9,24.1,Democrat,"Kohl, Herbert H."
0.9,8.1,11.9,22.1,Republican,"Coats, Daniel Ray"
13.9,15.1,13.9,24.1,Democrat,"Durbin, Richard Joseph"
11.9,15.1,22.9,24.1,Democrat,"Johnson, Timothy Peter (Tim)"
13.9,15.1,13.9,24.1,Democrat,"Rockefeller, John Davison Iv (Jay)"
0.9,6.1,17.9,25.1,Republican,"Toomey, Patrick Joseph"
13.9,15.1,13.9,24.1,Democrat,"Udall, Thomas (Tom)"
0.9,1.1,2.9,20.1,Republican,"Paul, Rand"
3.9,11.1,15.9,22.1,Republican,"Alexander, Lamar"
11.9,15.1,22.9,24.1,Democrat,"Hagan, Kay"
0.9,8.1,11.9,22.1,Republican,"Kyl, Jon Llewellyn"
14.9,15.1,23.9,24.1,Democrat,"Lautenberg, Frank Raleigh"
14.9,15.1,23.9,24.1,Democrat,"Merkley, Jeff"
14.9,15.1,23.9,24.1,Democrat,"Wyden, Ronald Lee"
11.9,15.1,10.9,24.1,Democrat,"Klobuchar, Amy"
10.9,14.1,1.9,23.1,Republican,"Collins, Susan Margaret"
