congress,name,party,state,fiedler,y,connected
81,"Aiken, George David",Republican,VT,0.20554540335714733,-0.7437234924798981,TRUE
81,"Anderson, Clinton Presba",Democrat,NM,0.9426676027372569,0.3089521185730828,TRUE
81,"Brewster, Ralph Owen",Republican,ME,-1,0.25381074260881253,TRUE
81,"Bricker, John William",Republican,OH,-0.9196583022456214,0.9000647952317435,TRUE
81,"Bridges, Henry Styles (Styles)",Republican,NH,-0.93512246285068,0.5349582155770023,TRUE
81,"Butler, Hugh Alfred",Republican,NE,-0.9580589124299765,0.8928614099198116,TRUE
81,"Byrd, Harry Flood",Democrat,VA,-0.25664759493208356,0.8016756251549135,TRUE
81,"Cain, Harry Pulliam",Republican,WA,-0.9331082964591324,0.852260337041804,TRUE
81,"Capehart, Homer Earl",Republican,IN,-0.9528935905284487,0.8676795787694842,TRUE
81,"Chapman, Virgil Munday",Democrat,KY,0.9723577475431366,0.5485870371782697,TRUE
81,"Chavez, Dennis",Democrat,NM,0.9676146252840394,0.44052238028653656,TRUE
81,"Connally, Thomas Terry (Tom)",Democrat,TX,0.9898046818677386,0.535240566116465,TRUE
81,"Cordon, Guy",Republican,OR,-0.8939218994185854,0.8672226042424813,TRUE
81,"Donnell, Forrest C.",Republican,MO,-0.9222345625486232,0.7994943834167596,TRUE
81,"Douglas, Paul Howard",Democrat,IL,0.7139396387676435,-0.1423166714401034,TRUE
81,"Downey, Sheridan",Democrat,CA,0.9176077524891262,0.3964038668896064,TRUE
81,"Eastland, James Oliver",Democrat,MS,0.7751767388852726,0.6531582814926067,TRUE
81,"Ecton, Zales Nelson",Republican,MT,-0.8908237055158701,0.9310866969804807,TRUE
81,"Ellender, Allen Joseph",Democrat,LA,0.9454911170907638,0.5811169553813094,TRUE
81,"Ferguson, Homer Samuel",Republican,MI,-0.9692298713660185,0.054897970322947076,TRUE
81,"Flanders, Ralph Edward",Republican,VT,-0.2894185394000589,-0.9863419713430693,TRUE
81,"Frear, Joseph Allen, Jr.",Democrat,DE,0.7668973895100559,0.4482391538518049,TRUE
81,"Fulbright, James William",Democrat,AR,0.977563059813356,0.5019410025883986,TRUE
81,"George, Walter Franklin",Democrat,GA,0.7781521109921024,0.533285999892936,TRUE
81,"Gillette, Guy Mark",Democrat,IA,0.9828192619206222,0.5174218308308292,TRUE
81,"Green, Theodore Francis",Democrat,RI,0.9413098664791153,0.35920775684863604,TRUE
81,"Gurney, John Chandler (Chan)",Republican,SD,-0.8430989735750307,0.48672372196694935,TRUE
81,"Hayden, Carl Trumbull",Democrat,AZ,1,0.4840612185694597,TRUE
81,"Hendrickson, Robert Clymer",Republican,NJ,-0.8623196372150371,-0.20847457942973935,TRUE
81,"Hickenlooper, Bourke Blakemore",Republican,IA,-0.9690777413933752,0.431597781255759,TRUE
81,"Hill, Joseph Lister",Democrat,AL,0.972266084655456,0.44743980861757016,TRUE
81,"Hoey, Clyde Roark",Democrat,NC,0.8892854124752656,0.5970140776629278,TRUE
81,"Holland, Spessard Lindsey",Democrat,FL,0.9434644864177633,0.5653919987867504,TRUE
81,"Humphrey, Hubert Horatio, Jr.",Democrat,MN,0.9073176147563782,0.3257772685379552,TRUE
81,"Hunt, Lester Callaway",Democrat,WY,0.979341408616645,0.4594615461413394,TRUE
81,"Ives, Irving Mcneil",Republican,NY,-0.21910701663836318,-1,TRUE
81,"Jenner, William Ezra",Republican,IN,-0.8935242819666462,0.9570521600044619,TRUE
81,"Johnson, Edwin Carl",Democrat,CO,0.6773721157650014,0.6305635021324312,TRUE
81,"Johnson, Lyndon Baines",Democrat,TX,0.9849546738353279,0.5024021765922411,TRUE
81,"Johnston, Olin Dewitt Talmadge",Democrat,SC,0.9594563863519998,0.5587174493238816,TRUE
81,"Kefauver, Carey Estes",Democrat,TN,0.9593533220476445,0.4288211935730206,TRUE
81,"Kem, James Preston",Republican,MO,-0.9151819374378755,0.8581114814344379,TRUE
81,"Kerr, Robert Samuel",Democrat,OK,0.9984929879307347,0.5248511601571502,TRUE
81,"Kilgore, Harley Martin",Democrat,WV,0.9413098664791153,0.35920775684863604,TRUE
81,"Knowland, William Fife",Republican,CA,-0.8980432314791815,-0.13104633755311068,TRUE
81,"Lodge, Henry Cabot, Jr.",Republican,MA,-0.28594013465230095,-0.9721067599793708,TRUE
81,"Long, Russell Billiu",Democrat,LA,0.9649529646153427,0.5203916798757722,TRUE
81,"Lucas, Scott Wike",Democrat,IL,0.9561804873193342,0.3746331206079796,TRUE
81,"Magnuson, Warren Grant",Democrat,WA,0.9336982586611784,0.350158490596834,TRUE
81,"Malone, George Wilson",Republican,NV,-0.8922621244229086,0.9524792094952255,TRUE
81,"Martin, Edward",Republican,PA,-0.9427810366299753,0.771178794505387,TRUE
81,"Maybank, Burnet Rhett",Democrat,SC,0.9954011891017005,0.5470140000570034,TRUE
81,"Mccarran, Patrick Anthony (Pat)",Democrat,NV,0.7273868437777666,0.5916983568412437,TRUE
81,"Mccarthy, Joseph Raymond",Republican,WI,-0.9408359792848043,0.7501021714291094,TRUE
81,"Mcclellan, John Little",Democrat,AR,0.5510090370852967,0.7535877935033399,TRUE
81,"Mcfarland, Ernest William",Democrat,AZ,0.9938419868464783,0.4737642148032899,TRUE
81,"Mcmahon, Brien",Democrat,CT,0.8050369653330409,0.007221329499246476,TRUE
81,"Millikin, Eugene Donald",Republican,CO,-0.904966922084752,0.7612558222446557,TRUE
81,"Mundt, Karl Earl",Republican,SD,-0.9362373353025657,0.808923656611481,TRUE
81,"Murray, James Edward",Democrat,MT,0.9250488511703123,0.34241580134552474,TRUE
81,"Myers, Francis John",Democrat,PA,0.9496027089381196,0.36284298175727714,TRUE
81,"Neely, Matthew Mansfield",Democrat,WV,0.9336982586611784,0.350158490596834,TRUE
81,"O'conor, Herbert Romulus",Democrat,MD,0.8559536954513121,0.23599523570166792,TRUE
81,"O'mahoney, Joseph Christopher",Democrat,WY,0.9712248295541095,0.4481763169548343,TRUE
81,"Pepper, Claude Denson",Democrat,FL,0.9413098664791151,0.3592077568486358,TRUE
81,"Robertson, Absalom Willis",Democrat,VA,0.7152871995759289,0.6036223882710601,TRUE
81,"Russell, Richard Brevard, Jr.",Democrat,GA,0.8521433433649694,0.6227286792173548,TRUE
81,"Saltonstall, Leverett",Republican,MA,-0.45495652137343756,-0.7219650387957557,TRUE
81,"Schoeppel, Andrew Frank",Republican,KS,-0.9331082964591373,0.8522603370418045,TRUE
81,"Smith, Howard Alexander",Republican,NJ,-0.29261332590761624,-0.860774990757943,TRUE
81,"Smith, Margaret Chase",Republican,ME,-0.1502045298098622,-0.8691393214802949,TRUE
81,"Sparkman, John Jackson",Democrat,AL,0.972266084655456,0.44743980861756993,TRUE
81,"Stennis, John Cornelius",Democrat,MS,0.9680257740168567,0.5706662275186718,TRUE
81,"Taft, Robert Alphonso",Republican,OH,-0.9540670365952024,0.05869409092797895,TRUE
81,"Taylor, Glen Hearst",Democrat,ID,0.8683540300469919,0.42373818865176727,TRUE
81,"Thomas, Elbert Duncan",Democrat,UT,0.9497636111459555,0.3716269191539454,TRUE
81,"Thomas, John William Elmer",Democrat,OK,0.9814041599751908,0.5404298254544146,TRUE
81,"Thye, Edward John",Republican,MN,-0.5593086224772462,-0.6563180931001513,TRUE
81,"Tobey, Charles William",Republican,NH,-0.3231320609672207,-0.9662375538189211,TRUE
81,"Tydings, Millard Evelyn",Democrat,MD,0.8643911054569218,0.25672897821883156,TRUE
81,"Watkins, Arthur Vivian",Republican,UT,-0.9656615872713025,0.7922716135215548,TRUE
81,"Wherry, Kenneth Spicer",Republican,NE,-0.9580589124299779,0.8928614099198129,TRUE
81,"Wiley, Alexander",Republican,WI,-0.8596876638039255,-0.23451627376050477,TRUE
81,"Williams, John James",Republican,DE,-0.8703409115461131,0.8598609434833906,TRUE
81,"Young, Milton Ruben",Republican,ND,-0.6747977925987911,1,TRUE
81,"Morse, Wayne Lyman",Republican,OR,0.6338790261945919,-0.12537660531761607,TRUE
81,"Langer, William",Republican,ND,0.19678833025226394,0.5674165138532827,TRUE
81,"Mckellar, Kenneth Douglas",Democrat,TN,0.9954011891017007,0.5470140000570034,TRUE
81,"Vandenberg, Arthur Hendrick",Republican,MI,-0.38884111894122797,-0.8829849663285191,TRUE
81,"Dworshak, Henry Clarence",Republican,ID,-0.579603881544475,0.9354646541642031,TRUE
81,"Graham, Frank Porter",Democrat,NC,0.94244912903265,0.4104634906450937,TRUE
81,"Withers, Garrett Lee",Democrat,KY,0.973232568027318,0.5192613101597388,TRUE
81,"Leahy, Edward Laurence",Democrat,RI,0.8520924953315121,0.34694968073668075,TRUE
82,"Aiken, George David",Republican,VT,-0.39781146746858886,-0.272698473958524,TRUE
