congress,rollnumber,date,yea_count,nay_count,bioname,icpsr,cast_code,state_abbrev,party_code,party_name,nominate_dim1,nominate_dim2
87,1,1961-01-11,51,49,"Aiken, George David",52,6,VT,200,Republican,0.062,-0.435
87,1,1961-01-11,51,49,"Allott, Gordon Llewellyn",142,6,CO,200,Republican,0.308,-0.445
87,1,1961-01-11,51,49,"Anderson, Clinton Presba",165,6,NM,100,Democrat,-0.201,0.213
87,1,1961-01-11,51,49,"Bartlett, Edward Lewis (Bob)",486,1,AK,100,Democrat,-0.495,0.484
87,1,1961-01-11,51,49,"Beall, James Glenn",546,6,MD,200,Republican,0.176,-0.55
87,1,1961-01-11,51,49,"Bennett, Wallace Foster",645,1,UT,200,Republican,0.447,-0.334
87,1,1961-01-11,51,49,"Bible, Alan Harvey",688,1,NV,100,Democrat,-0.2,0.528
87,1,1961-01-11,51,49,"Blakley, William Arvis",777,1,TX,100,Democrat,0.106,0.9
87,1,1961-01-11,51,49,"Boggs, James Caleb",823,6,DE,200,Republican,0.21,-0.673
87,1,1961-01-11,51,49,"Bridges, Henry Styles (Styles)",1027,1,NH,200,Republican,0.372,-0.475
87,1,1961-01-11,51,49,"Burdick, Quentin Northrup",1252,6,ND,100,Democrat,-0.371,0.42
87,1,1961-01-11,51,49,"Bush, Prescott Sheldon",1329,6,CT,200,Republican,0.28,-0.945
87,1,1961-01-11,51,49,"Butler, John Marshall",1341,1,MD,200,Republican,0.368,-0.212
87,1,1961-01-11,51,49,"Byrd, Harry Flood",1365,1,VA,100,Democrat,0.188,0.564
87,1,1961-01-11,51,49,"Byrd, Robert Carlyle",1366,1,WV,100,Democrat,-0.309,0.729
87,1,1961-01-11,51,49,"Cannon, Howard Walter",1482,6,NV,100,Democrat,-0.211,0.495
87,1,1961-01-11,51,49,"Capehart, Homer Earl",1489,1,IN,200,Republican,0.37,-0.222
87,1,1961-01-11,51,49,"Carlson, Frank",1510,1,KS,200,Republican,0.232,-0.243
87,1,1961-01-11,51,49,"Carroll, John Albert",1540,6,CO,100,Democrat,-0.543,-0.08
87,1,1961-01-11,51,49,"Case, Clifford Philip",1569,6,NJ,200,Republican,-0.108,-0.994
87,1,1961-01-11,51,49,"Case, Francis Higbee",1570,5,SD,200,Republican,0.239,0.032
87,1,1961-01-11,51,49,"Chavez, Dennis",1678,1,NM,100,Democrat,-0.206,0.391
87,1,1961-01-11,51,49,"Church, Frank Forrester",1721,6,ID,100,Democrat,-0.384,0.31
87,1,1961-01-11,51,49,"Clark, Joseph Sill",1776,6,PA,100,Democrat,-0.576,-0.332
